Identifier,StructureData,,,,,
6AA7,"VAPOR DIFFUSION, HANGING DROP",295.5,,"HEPES, Lithium sulfate",2.53,51.43
6UHJ,"VAPOR DIFFUSION, SITTING DROP",295,7.4,"1 microliter C148 mGFP (5 mg/mL of protein in 10 mM Tris Buffer pH 7.4, 137 mM NaCl) + 1 microliter crystallization condition (0.1 M sodium acetate, 25% (w/v) PEG 4000, 8% (v/v) isopropanol) in a sitting drop with a 70 microliter reservoir (0.1 M sodium acetate, 25% (w/v) PEG 4000, 8% (v/v) isopropanol)",1.81,32.08
6UHK,"VAPOR DIFFUSION, SITTING DROP",295,7,"1 microliter C176 mGFP (5 mg/mL protein in 10 mM Tris Buffer pH 7.4, 137 mM NaCl) + 1 microliter crystallization condition (2.1 M DL-malic acid, pH 7.0) in a sitting drop with a 70 microliter reservoir (2.1 M DL-malic acid, pH 7.0)",2.49,50.66
6UHL,"VAPOR DIFFUSION, SITTING DROP",295,,"1 microliter C148 mGFP-scDNA-1 (5 mg/mL (protein concentration) in 10 mM Tris Buffer pH 7.4, 137 mM NaCl) + 1 microliter crystallization condition (0.1 M SPG Buffer pH 8, 25% (w/v) PEG 1500) in a sitting drop with a 70 microliter reservoir (0.1 M SPG Buffer pH 8, 25% (w/v) PEG 1500)",2.37,48
6UHM,"VAPOR DIFFUSION, SITTING DROP",295,7.4,"1 microliter of a physical mixture of C148 mGFP and scDNA-1 (5 mg/mL C148 mGFP and equimolar scDNA-1 in 10 mM Tris Buffer pH 7.4, 137 mM NaCl) + 1 microliter crystallization condition (0.1 M sodium acetate, 25% (w/v) PEG 4000, 8% (v/v) isopropanol) in a sitting drop with a 70 microliter reservoir (0.1 M sodium acetate, 25% (w/v) PEG 4000, 8% (v/v) isopropanol)",1.96,37.29
6UHN,"VAPOR DIFFUSION, SITTING DROP",295,5.5,"1 microliter C148 mGFP-cDNA-1 (5 mg/mL (protein concentration) in 10 mM Tris Buffer pH 7.4, 137 mM NaCl) + 1 microliter crystallization condition (0.2 M lithium sulfate, 0.1 M Bis-Tris Buffer pH 5.5, 25% (w/v) PEG 3350) in a sitting drop with a 70 microliter reservoir 0.2 M lithium sulfate, 0.1 M Bis-Tris Buffer pH 5.5, 25% (w/v) PEG 3350)",2.35,47.72
6UHO,"VAPOR DIFFUSION, SITTING DROP",295,,"1 microliter C148 mGFP-cDNA-2 (5 mg/mL (protein concentration) in 10 mM Tris Buffer pH 7.4, 137 mM NaCl) + 1 microliter crystallization condition (0.15 M potassium bromide, 30% (w/v) PEG MME 2000) in a sitting drop with a 70 microliter reservoir (0.15 M potassium bromide, 30% (w/v) PEG MME 2000)",2.35,47.58
6UHP,"VAPOR DIFFUSION, SITTING DROP",277,,"1 microliter C148 mGFP-ncDNA-1 (5 mg/mL (protein concentration) in 10 mM Tris Buffer pH 7.4, 137 mM NaCl) + 1 microliter crystallization condition (0.2 M sodium chloride, 0.1 M Bis-Tris Buffer pH 5.5, 25% (w/v) PEG 3350) in a sitting drop with a 70 microliter reservoir (0.2 M sodium chloride, 0.1 M Bis-Tris Buffer pH 5.5, 25% (w/v) PEG 3350)",2.36,47.82
6UHQ,"VAPOR DIFFUSION, SITTING DROP",295,6.5,"1 microliter C148 mGFP-cDNA-3 (5 mg/mL (protein concentration) in 10 mM Tris Buffer pH 7.4, 137 mM NaCl) + 1 microliter crystallization condition (0.1 M MES pH 6.5, 30% (w/v) PEG 4000) in a sitting drop with a 70 microliter reservoir (0.1 M MES pH 6.5, 30% (w/v) PEG 4000)",2.31,46.74
6UHR,"VAPOR DIFFUSION, SITTING DROP",295,7.4,"1 microliter C148 mGFP-scDNA-2 (5 mg/mL (protein concentration) in 10 mM Tris Buffer pH 7.4, 137 mM NaCl) + 1 microliter crystallization condition (0.15 M potassium bromide, 30% (w/v) PEG 2000 MME) in a sitting drop with a 70 microliter reservoir (0.15 M potassium bromide, 30% (w/v) PEG 2000 MME)",2.17,43.28
6XZF,"VAPOR DIFFUSION, HANGING DROP",298,,"0.1 M NaAcetate pH 4.6
8 % PEG 4000",2.89,57.5
7A7Y,"VAPOR DIFFUSION, SITTING DROP",293,6.5,"200 mM KNO3
20 % PEG 3350",1.88,34.64
5DQM,"VAPOR DIFFUSION, HANGING DROP",293,2,"0.1 M Citric acid pH 5.5, 1 M LiCl, 30 % PEG 6000. Prior to data collection pH of the cryoprotectant was adjusted to 2.0 by citric acid",2.26,45.59
1JBY,"VAPOR DIFFUSION, HANGING DROP",295,5.5,"PEG 1550, citrate, ammonium acetate, pH 5.5, VAPOR DIFFUSION, HANGING DROP, temperature 295K",1.98,37.99
1JBZ,"VAPOR DIFFUSION, HANGING DROP",295,9,"PEG 4000, Tris, Magnesium chloride, pH 9.0, VAPOR DIFFUSION, HANGING DROP, temperature 295K",2.05,40
1JC1,"VAPOR DIFFUSION, HANGING DROP",295,8.5,"PEG 4000, Lithium Sulfate, Tris, Copper (II) Chloride, pH 8.5, VAPOR DIFFUSION, HANGING DROP, temperature 295K",2.2,43.99
1QYF,"VAPOR DIFFUSION, HANGING DROP",298,8,"PEG 4000, Magnesium Chloride, Hepes, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.22,44.68
1ZUX,VAPOR DIFFUSION,293,8.5,"PEG 4000,  Tris, sodium acetate, pH 8.5, VAPOR DIFFUSION, temperature 293K",2.29,46.4
2AHA,"VAPOR DIFFUSION, HANGING DROP",295,4.6,"sodium phosphate/citrate, ammonium sulfate, DTT, pH 4.6, VAPOR DIFFUSION, HANGING DROP, temperature 295K",3.1,60.6
3P8U,"VAPOR DIFFUSION, HANGING DROP",298,8.5,"2.2 M ammonium sulfate, 0.1 M Tris-HCl, pH 8.5, VAPOR DIFFUSION, HANGING DROP, temperature 298.0K",2.75,55.34
4KAG,VAPOR DIFFUSION,291,6.5,"0.1 M Na cacodylate, 0.2 M NaCl, 1M Na citrate, pH 6.5, VAPOR DIFFUSION, temperature 291K",2.38,48.23
4LJB,"VAPOR DIFFUSION, HANGING DROP",298,8,"2.1M ammonium sulfate, 0.1M bicine, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298.0K",2.77,55.58
4LJC,"VAPOR DIFFUSION, HANGING DROP",298,8,"2.1M ammonium sulfate, 0.1M bicine, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298.0K",2.78,55.72
4LJD,"VAPOR DIFFUSION, HANGING DROP",298,8,"2.1M ammonium sulfate, 0.1M bicine, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298.0K",2.77,55.64
4Q7R,"VAPOR DIFFUSION, HANGING DROP",293,4.5,"0.2 M zinc acetate, 0.1 M acetate buffer, 20% PEG1000, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K",1.98,37.79
6CIU,"VAPOR DIFFUSION, SITTING DROP",298,,"0.1 M Magnesium chloride hexahydrate, 100 mM Tris pH 8.5, 25% w/v PEG 3350",1.99,38.35
2POX,"VAPOR DIFFUSION, SITTING DROP",293,7.5,"22% PEG 3350, 140mM Mg(NO3)2, pH 7.5, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.31,46.68
2WHS,VAPOR DIFFUSION,293,3.8,"0.2M LITHIUM SULPHATE, 20% PEG 3350, 0.1M PHOSPHATE CITRATE PH 3.8, VAPOR DIFFUSION, TEMPERATURE 293K",2.5,50
2Y0G,,,8.2,"50 MM HEPES PH 8.2, 24% PEG 4000, 50 MM MGCL2, 10 MM BETA-MERCAPTOEPTHANOL",2.1,40
3PJ7,"VAPOR DIFFUSION, HANGING DROP",293,8.5,"24% w/v PEG4000, 0.16 M MgCl2, 0.08 M TRIS hydrochloride pH 8.5, 20% v/v glycerol, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.33,47.25
3ST2,"VAPOR DIFFUSION, SITTING DROP",293,4.6,"15 % (w/v) PEG 3350, 0.2M KH2PO4, 3% (w/v) D-trehalose dihydrate, pH 4.6, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.2,44.07
3ST3,"VAPOR DIFFUSION, SITTING DROP",293,4.6,"15 % (w/v) PEG 3350, 0.2M KH2PO4, 3% (w/v) D-trehalose dihydrate, pH 4.6, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.15,42.9
3ST4,"VAPOR DIFFUSION, SITTING DROP",293,4.6,"15 % (w/v) PEG 3350, 0.2M KH2PO4, 3% (w/v) D-trehalose dihydrate, pH 4.6, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.2,44.16
4DXN,"VAPOR DIFFUSION, HANGING DROP",298,7.6,"0.07M tris, 0.1M sodium acetate, 12% PEG 4000, 15% glycerol, pH 7.6, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.15,42.75
4ZB1,VAPOR DIFFUSION,293,5.5,"24%(w/v) PEG600, 0.2M imidazole malate",2.74,55.13
6UN5,"VAPOR DIFFUSION, HANGING DROP",293,,"0.15 M ammonium acetate, 31% PEG 3350",1.74,29.3
6UN6,"VAPOR DIFFUSION, HANGING DROP",293,,"0.15 M ammonium acetate, 34% PEG 3350",,
6UN7,"VAPOR DIFFUSION, HANGING DROP",293,,"0.15 M ammonium acetate, 34% PEG 3350",1.82,32.49
3NF0,"VAPOR DIFFUSION, SITTING DROP",298,7,"2.1 M malic acid, pH 7.0, VAPOR DIFFUSION, SITTING DROP, temperature 298K",2.08,40.85
1W7S,,277,7.8,"CRYSTALS WERE GROWN AT 4C FROM 50 MM MGCL2, 14-17 % PEG3350 AND 50-100 MM TRIS/CL PH 7.8 - 8.6.",2.2,43
1W7T,,277,7.8,"CRYSTALS WERE GROWN AT 4C FROM 50 MM MGCL2, 14-17 % PEG3350 AND 50-100 MM TRIS/CL PH 7.8 - 8.6.",2.2,43
1W7U,,277,7.8,"CRYSTALS WERE GROWN AT 4C FROM 50 MM MGCL2, 14-17 % PEG3350 AND 50-100 MM TRIS/CL PH 7.8 - 8.6.",2.2,43
2AH8,"VAPOR DIFFUSION, HANGING DROP",295,7.6,"sodium citrate, imidazole, pH 7.6, VAPOR DIFFUSION, HANGING DROP, temperature 295K",3.1,60.6
3ST0,"VAPOR DIFFUSION, HANGING DROP",290,5.4,"10% PEG3000, 150 mM ammonium acetate, pH 5.4, VAPOR DIFFUSION, HANGING DROP, temperature 290K",1.89,35.03
3SV5,"VAPOR DIFFUSION, HANGING DROP",290,4.6,"21% PEG2000, 50 mM sodium acetate, 90 mM magnesium chloride, pH 4.6, VAPOR DIFFUSION, HANGING DROP, temperature 290K",1.83,32.74
4ORN,"VAPOR DIFFUSION, HANGING DROP",294,6.5,"1.8 M ammonium sulfate, 0.01 M cobalt chloride, 0.1 M MES, pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 294K",2.87,57.1
4PFE,"VAPOR DIFFUSION, SITTING DROP",291,7.5,"0.1M Sodium acetate pH 4.6 30 %(v/v) PEG 400, 20mM Hepes pH 7.5, 150mM NaCl",2.58,52.32
6DQ0,"VAPOR DIFFUSION, SITTING DROP",298,7,"0.2 M Ammonium citrate tribasic pH 7.0, 18% PEG3350; protein at 36 mg/mL",3.96,68.91
6DQ1,"VAPOR DIFFUSION, SITTING DROP",298,7,1200 mM Malic Acid,2.36,47.88
1XSS,"VAPOR DIFFUSION, SITTING DROP",293,7,"NaCl, HEPES , pH 7.0, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.35,47.7
2C9I,,,8.5,"30 PERCENT PEG 4000, 0.1 M TRIS PH 8.5, 0.2 M MAGNESIUM CHLORIDE",1.99,37.79
2H8Q,"VAPOR DIFFUSION, HANGING DROP",298,6.5,"0.1M HEPES, 45%MPD dissolved in 1:1 ratio by volume of ~15mg/ml protein, pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 298.0K",2.66,53.81
2VAE,"VAPOR DIFFUSION, HANGING DROP",,7.5,"100 MM HEPES, PH 7.5, 22% POLYACRYLIC ACID, 200 MM MGCL2, HANGING DROPS, RT",2.3,47
2YDZ,,,6.75,"16 MG/ML PROTEIN, 13% PEG8000, 100 MM MGCL2, 100 MM HEPES PH 6.75",2,39
2YE0,,,6.75,"16 MG/ML PROTEIN, 14% PEG8000, 100 MM MGCL2, 100 MM HEPES PH 6.75",2,39
2Z6X,"VAPOR DIFFUSION, SITTING DROP",277,8.5,"0.2M Ammonium dihydrogen phosphate, 40 % MPD, 0.1M Tris-HCl (pH 8.5), VAPOR DIFFUSION, SITTING DROP, temperature 277K",2.09,41.07
3ED8,"VAPOR DIFFUSION, HANGING DROP",293,8.5,"100 mM Tris/HCl pH 8.5, 20 % ethanol, 12 % TCEP 
, VAPOR DIFFUSION, HANGING DROP, temperature 293K",3.2,61.51
3ZTF,,,7.25,"30 MG/ML PROTEIN, 19% PEG 8000, 100 MM MGCL2, 100 MM HEPES PH 7.25 .",2,40
4EDO,"VAPOR DIFFUSION, HANGING DROP",293,7,"2.5 M Na Acetate, 0.1 M BIS-TRIS propane, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K",3.1,60.29
4EDS,"VAPOR DIFFUSION, HANGING DROP",293,7,"2.5 M Na Acetate, 0.1 M BIS-TRIS propane, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K",3.1,60.39
4JF9,"VAPOR DIFFUSION, HANGING DROP",293,7,"9 mg/ml of lanRFP in 20 mM Tris pH 8.0, 200 mM NaCl, 5 mM EDTA mixed with an equal amount of reservoir solutions - 1M Na-citrate, 0.1M Tris pH 7.0 , VAPOR DIFFUSION, HANGING DROP, temperature 293.0K",3.9,68.47
6FWW,"VAPOR DIFFUSION, SITTING DROP",291,4,"0.1 M MMT buffer, 25 % PEG 1500, pH 4.0",1.92,35.78
6JC5,"VAPOR DIFFUSION, HANGING DROP",293,,"1M calcium acetate, 50% PEG 3350",2.38,48.35
6JC6,"VAPOR DIFFUSION, HANGING DROP",293,,0.2 M lithium acetate and 20% PEG 3350,2.35,47.74
6L26,"VAPOR DIFFUSION, SITTING DROP",293,,"0.1 M MES-NaOD (pD 7.0), 5.0 % w/v PEG 2000 and 50 mM NDSB",2.12,41.96
6VIO,"VAPOR DIFFUSION, HANGING DROP",298,,1.75 M Na/K phosphate pH 6.9,,
3CFA,VAPOR DIFFUSION,298,7.5,"0.2M CaCl2, 28%(W/V) PEG 400, 0.1M HEPES, pH 7.5, VAPOR DIFFUSION, temperature 298.0K",2.82,56.4
6SM0,"VAPOR DIFFUSION, SITTING DROP",293,5,"10mM Zn Cl2, 100 mM Na acetate,
20% PEG 6000",2.19,43.73
5Y01,"VAPOR DIFFUSION, HANGING DROP",298,,"Ammonium phosphate, sodium citrate, sodium chloride, pH3.0",5.8,78.81
7SQY,,,,,,
2WSN,,,7.5,"19.5% PEG8000, 4% GLYCEROL, 1M HEPES PH 7.5",2,40
3KCT,"VAPOR DIFFUSION, HANGING DROP",298,8.5,"30% PEG4000, 0.1 M Tris HCl, 0.2 M magnesium chloride, pH 8.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.65,53.62
3ZUF,,,7.5,"500 MM MG(NO3)2, 50 MM HEPES (PH 7.5), 26% PEG 3350 AS CRYSTALLIZATION BUFFER. OPTIMIZED CRYSTALS WERE THEN OBTAINED BY MICRO-SEEDING IN THE SAME BUFFER, EXCEPT THAT A REDUCED AMOUNT OF PEG 3350 WAS USED (16%).",2.48,50.49
3ZUJ,,,7.5,"500 MM MG(NO3)2, 50 MM HEPES (PH 7.5), 26% PEG 3350 AS CRYSTALLIZATION BUFFER. OPTIMIZED CRYSTALS WERE THEN OBTAINED BY MICRO-SEEDING IN THE SAME BUFFER, EXCEPT THAT A REDUCED AMOUNT OF PEG 3350 WAS USED (16%).",2.48,50.45
3ZUL,,,7.5,"500 MM MG(NO3)2, 50 MM HEPES (PH 7.5), 26% PEG 3350 AS CRYSTALLIZATION BUFFER. OPTIMIZED CRYSTALS WERE THEN OBTAINED BY MICRO-SEEDING IN THE SAME BUFFER, EXCEPT THAT A REDUCED AMOUNT OF PEG 3350 WAS USED (16%).",2.46,50.12
4AS8,,,7.25,"13 MG/ML PROTEIN, 14% PEG8000, 100 MM MGCL2, 100 MM HEPES PH 7.25",2.11,41.68
4OJ0,"VAPOR DIFFUSION, SITTING DROP",285,6,"0.2 M Calcium Acetate, 0 .1 M MES pH 6.0, 20% PEG 8000, VAPOR DIFFUSION, SITTING DROP, temperature 285K",1.96,37.33
4OQW,"VAPOR DIFFUSION, HANGING DROP",300,7.6,"0.1 M Tris pH 7.6 - 8.0, 0.2 M CaCl2, 10 mM TCEP, 22 - 25% PEG 4000 , VAPOR DIFFUSION, HANGING DROP, temperature 300K",2.93,58.02
3E5T,"VAPOR DIFFUSION, HANGING DROP",298,4.6,"PEG 8000, pH 4.6, vapor diffusion, hanging drop, temperature 298K",2.33,47.24
3E5V,"VAPOR DIFFUSION, HANGING DROP",298,4.6,"PEG 4000, pH 4.6, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.25,45.34
3E5W,"VAPOR DIFFUSION, HANGING DROP",298,4.6,"PEG 8000, pH 4.6, vapor diffusion, hanging drop, temperature 298K",2.24,45.07
6B9C,"VAPOR DIFFUSION, SITTING DROP",298,7,1.4 M DL-Malic acid,2.36,47.98
6YLM,"VAPOR DIFFUSION, HANGING DROP",291,4,"PEG 6000, tri-sodium citrate, lithium chloride",2.56,51.88
5MAK,"VAPOR DIFFUSION, SITTING DROP",277,,"0.1M Tri Sodium Citrate pH 5.6, 20% v/v 2-Propanol, 20%w/v PEG 4000",2.62,53.02
1G7K,"VAPOR DIFFUSION, HANGING DROP",298,7.8,"PEG 4000, Tris, Beta-Mercaptoethanol, pH 7.8, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.02,39.24
2IOV,"VAPOR DIFFUSION, SITTING DROP",293,7.5,"22% PEG 3350, 140mM Mg(NO3)2, pH 7.5, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.43,49.3
2VAD,"VAPOR DIFFUSION, HANGING DROP",,7.6,"100 MM HEPES, PH 7.6, 25% PEG3350, 200 MM MGCL2, 5 MM ZNSO4, RT, HANGING DROP",2,37
4EMQ,"VAPOR DIFFUSION, HANGING DROP",289,7.5,"25% PEG 3350, 0.1M Hepes pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 289K",1.82,32.56
6D38,"VAPOR DIFFUSION, SITTING DROP",295,,"0.05 M Ammonium sulfate, 0.05 M BIS-TRIS pH 6.5, 30% v/v Pentaerythritol ethoxylate (15/4 EO/OH)",1.86,33.88
6D39,"VAPOR DIFFUSION, SITTING DROP",295,,"0.1 M BIS-TRIS pH 6.5, 2 M Ammonium sulfate",1.85,33.62
2H5P,"VAPOR DIFFUSION, HANGING DROP",298,9.5,"75mM Glycine pH 10.5, 1.1M Sodium Citrate, pH 9.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K",1.93,45.44
2H5R,"VAPOR DIFFUSION, HANGING DROP",298,10.5,"100 mM CAPS pH 11.5, 1.1M NaCitrate, pH 10.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K",1.92,48.09
3IR8,"VAPOR DIFFUSION, HANGING DROP",295,7,"26% PEG 3350, 0.2 M NaCl, 0.1 M Tris pH 7.0, vapor diffusion, hanging drop, temperature 295K",2.16,43.11
3U0M,"VAPOR DIFFUSION, SITTING DROP",298,8.5,"0.1 M Tris pH 8.5, 25% PEG 3350, VAPOR DIFFUSION, SITTING DROP, temperature 298K",1.96,37.16
4Q7T,"VAPOR DIFFUSION, SITTING DROP",293,,"55% MPD, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.04,39.68
4UTS,,,7.5,"22 % (W/V) PEG (POLY[ETHYLENE GLYCOL]) MONOMETHYL ETHER 3350 AND 0.14 M MG(NO3)2, PH 7.5",2.56,52
6NQJ,"VAPOR DIFFUSION, SITTING DROP",293,7.4,"0.1 M Tris-HCl at pH 7.4, 0.1 M MgCl2, 15% PEG 3350",1.91,35.72
6NQK,"VAPOR DIFFUSION, SITTING DROP",293,7.4,"0.1 M Tris-HCl at pH 7.4, 0.1 M MgCl2, 12% PEG 3350",2.18,43.7
6NQN,"VAPOR DIFFUSION, SITTING DROP",293,,"0.1 M Tris-HCl at pH 7.4, 0.1 M MgCl2, 15% PEG 3350",2.08,40.94
6NQO,"VAPOR DIFFUSION, SITTING DROP",293,,"0.1 M Tris-HCl at pH 7.4, 0.1 M MgCl2, 21% PEG 3350",2.07,40.63
6NQP,"VAPOR DIFFUSION, SITTING DROP",293,,"0.1 M Tris-HCl at pH 7.4, 0.1 M MgCl2, 16% PEG 3350",2.09,41.25
6NQQ,"VAPOR DIFFUSION, SITTING DROP",293,7.4,"0.1 M Tris-HCl at pH 7.4, 0.1 M MgCl2, 18% PEG 3350",2.15,42.82
6NQR,"VAPOR DIFFUSION, SITTING DROP",293,,"0.1 M Tris-HCl at pH 7.4, 0.1 M MgCl2, 16.5% PEG 3350",2.1,41.34
6NQS,"VAPOR DIFFUSION, SITTING DROP",293,7.4,"0.1 M Tris-HCl at pH 7.4, 0.1 M MgCl2, 16% PEG 3350",2.21,44.22
6NQV,"VAPOR DIFFUSION, SITTING DROP",293,7.4,"0.1 M Tris-HCl at pH 7.4, 0.1 M MgCl2, 18% PEG 3350",2.11,41.64
6XWY,"VAPOR DIFFUSION, HANGING DROP",292,8,"50 mM Tris pH 8.0
0.2 M Ammonium Sulfate
26 % PEG 8000",2.63,53.19
1XMZ,"VAPOR DIFFUSION, HANGING DROP",293,9.5,"26% PEG 1550, 0.14 M SODIUM CITRATE,  0.1 M TRIS, pH 9.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.05,39.9
4P76,VAPOR DIFFUSION,310,,,2.41,48.92
2G6X,"VAPOR DIFFUSION, HANGING DROP",298,7.5,"0.08% C-HEGA-10, 22% PEG-6000, 100 mM HEPES, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.11,41.79
2G6Y,"VAPOR DIFFUSION, HANGING DROP",298,4.6,"0.25 M sodium malonate, 100 mM sodium acetate, 2.2 M ammonium sulfate, pH 4.6, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.53,51.33
2H5O,,298,8,"200 mM MgCl2, 100mM Tris pH 8.2, 28% PEG 1550, VAPOR DIFFUSION, HANGING DROP, temperature 298K, pH 8.00",1.77,33.95
3U0L,"VAPOR DIFFUSION, SITTING DROP",298,4.5,"0.1 M Sodium acetate trihydrate pH 4.5, 25% PEG 3,350, VAPOR DIFFUSION, SITTING DROP, temperature 298K",1.97,37.65
3U0N,"VAPOR DIFFUSION, SITTING DROP",298,8,"2.0 M Ammonium sulfate, pH 8.0, VAPOR DIFFUSION, SITTING DROP, temperature 298K",2.39,48.55
4H3L,"VAPOR DIFFUSION, SITTING DROP",293,6.5,"0.3 uL + 0.3 uL drops, precipitant: 200 mM magnesium chloride, 100 mM sodium cacodylate, pH 6.5, 50% (v/v) PEG200, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.13,42.14
4H3N,"VAPOR DIFFUSION, SITTING DROP",293,8.5,"0.3 uL + 0.3 uL drops, precipitant: 200 mM sodium cacodylate, 100 mM Tris-HCl, pH 8.5, 30% (w/v) PEG4000, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.16,42.97
5H87,"VAPOR DIFFUSION, SITTING DROP",298,5.5,"125mM Bis-Tris, and 25% Peg3350",2.06,40.22
5H88,"VAPOR DIFFUSION, SITTING DROP",298,7.4,100mM HEPES and 25% Peg3350,2.05,39.96
5H89,"VAPOR DIFFUSION, HANGING DROP",298,5.5,"125mM Bis-Tris, 200mM MgCl2 and 25% Peg3350",2.06,40.22
5HZS,"VAPOR DIFFUSION, HANGING DROP",295.5,8.5,"PEG 4000, Tris-HCl, MgCl2",2.32,47.09
5HZT,"VAPOR DIFFUSION, HANGING DROP",295.5,8.5,"PEG 4000, Tris-HCl, MgCl2",2.33,47.15
5HZU,"VAPOR DIFFUSION, HANGING DROP",295.5,8.5,"PEG 4000, Tris-HCl, MgCl2",2.32,46.95
6NQL,"VAPOR DIFFUSION, SITTING DROP",293,7.4,"0.1 M Tris-HCl at pH 7.4, 0.1 M MgCl2, 12% PEG 3350",2.17,43.31
6MWQ,,,,,,
5MFC,"VAPOR DIFFUSION, SITTING DROP",277,4.6,"8% w/v PEG 4000, 0.1M Na acetate trihydrate pH 4.6,",2.67,53.93
6GP1,"VAPOR DIFFUSION, SITTING DROP",293,7.5,"100 mM HEPES, 30 % PEG 1000",1.99,38.05
6MZ3,"VAPOR DIFFUSION, HANGING DROP",292,,"50 mM Tris-HCl, 100 mM NaOAc, 30% PEG 4000, pH 8.5",1.93,36.32
6IR1,"VAPOR DIFFUSION, SITTING DROP",293,5.5,"0.2M Lithium sulfate monohydrate, 0.1M BIS-TRIS pH 5.5, 25%(w/v) Polyethylene glycol 3,350.",2.14,42.42
6IR2,"VAPOR DIFFUSION, SITTING DROP",293,7.4,"0.2M Magnesium chloride hexahydrate, 0.1M Tris pH 8.5, 25%(w/v) Polyethylene glycol 3,350.",2.11,41.58
6WVF,LIPIDIC CUBIC PHASE,295,,"34% PEG 400, 60 mM NaCl, 0.1 M HEPES pH 7.5",2.54,51.63
5J3N,"VAPOR DIFFUSION, SITTING DROP",277,8,"20% (w/v) PEG 3350, 0.2 M KH2PO4, 4% v/v acetone",2.55,51.73
2WHT,VAPOR DIFFUSION,293,5.6,"21% PEG 6000, 0.4M NACL, 0.15M SODIUM PHOSPHATE PH5.6, VAPOR DIFFUSION, TEMPERATURE 293K",2.5,50
2WHU,VAPOR DIFFUSION,293,8,"21% PEG 6000, 0.4M NACL, 0.15M PHOSPHATE PH5.6, VAPOR DIFFUSION, TEMPERATURE 293K, pH 8",2.62,53
3H1R,,293,6.5,"100mM Bis-Tris, 25% PEG 3350, 200mM MgCl2, pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K",,
4DXM,"VAPOR DIFFUSION, HANGING DROP",298,7.7,"0.2M tris, 0.12M magnesium sulfate, 20% PEG 4000, pH 7.7, VAPOR DIFFUSION, HANGING DROP, temperature 198K, temperature 298K",2.05,40.02
4PPJ,,293,7.5,"20% PEG3350, 0.15M MgCl2, 0.1M Tris-HCl pH7.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K",,
6LOF,"VAPOR DIFFUSION, HANGING DROP",295.5,,"imidazole,PEG 8000, calcium acetate.",2.08,40.99
4L13,"VAPOR DIFFUSION, HANGING DROP",298,7,"51 mM HEPES, pH 7.0, 1 mM beta-mercaptoethanol, 50 mM sodium acetate, 17% PEG4000, VAPOR DIFFUSION, HANGING DROP, temperature 298K",3.08,60.04
4Z4M,VAPOR DIFFUSION,293,7.4,"0.2 M Ammonium fluoride, 20% w/v Polyethylene glycol 3,350",2.32,46.94
5O8A,BATCH MODE,293,8,"2 M ammonium sulphate, 20 mM NaCl, 120 mM HEPES",2.07,40.51
2A50,"VAPOR DIFFUSION, SITTING DROP",293,7.1,"PEG 3350, NaCl, pH 7.1, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.1,40.4
2A52,"VAPOR DIFFUSION, SITTING DROP",293,7.1,"PEG 3350, NaCl, pH 7.1, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.1,40.4
2A56,"VAPOR DIFFUSION, SITTING DROP",293,7.1,"PEG 3350, NaCl, pH 7.1, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.1,40.4
3IP2,"VAPOR DIFFUSION, SITTING DROP",291,7,"1 uL of protein at 10 mg/mL was mixed with 1 uL of 0.1 M HEPES, 0.2 M CaCl2, 20% PEG 6000, pH 7.0, VAPOR DIFFUSION, SITTING DROP, temperature 291K",2.06,40.39
